telegram_id;username;full_name;count_sent_predictions;work_or_stop;last_use_bot;all_uses;count_touch_help;count_touch_next_prediction;count_touch_start;predictions
664295561;lv_rey;Лев Рейн;7;+;2022-11-04  19:44:53;['2022-11-04  03:54:24', '2022-11-04  03:56:09', '2022-11-04  17:51:34', '2022-11-04  19:44:53'];1;0;0;['Вас ожидает секс с вашей мамой', 'Советую вам не ходить под крышами в ближайшую неделю, есть шанс что вам на голову прилетит порция дерьма', 'Не вздумайте ходить в бильярдные клубы с бухлом, иначе вместо бильярдных шариков окажутся ваши яйца', 'Что бы ни произошло, делай вид, что ты не ты, а не ты это она!', 'Хватит менять себя ради кого-то, меняй носки каждый день, а то они воняют.', 'Хватит превращаться в бабу, стань бабой, военкомат близко', 'Будь осторожней, у тебя может появиться ребёнок в ближайшее время, но есть и хорошая новость, тебя ребёнок не коснётся, мобилизация коснётся!']
5352265596;;Lev Reyn Second;4;+;2022-11-04  19:44:57;['2022-11-04  04:07:39', '2022-11-04  17:51:38', '2022-11-04  19:44:57'];1;0;0;['Что бы ни произошло, делай вид, что ты не ты, а не ты это она!', 'В ближайшие дни остерегайся зеркального отражения! Иначе ты увидишь свою смазливую рожу и впадёшь в депрессию.', 'Не вздумайте ходить в бильярдные клубы с бухлом, иначе вместо бильярдных шариков окажутся ваши яйца', 'Сегодня не стоит... и завтра не стоит - ты импотент']
1113767419;;;10;-;2022-11-04  19:44:51;['2022-11-04  17:51:33', '2022-11-04  19:44:51'];0;0;0;['Советую вам не ходить под крышами в ближайшую неделю, есть шанс что вам на голову прилетит порция дерьма', 'Сегодня не стоит... и завтра не стоит - ты импотент', 'С неповторимым мужчиной и повторить не грех! Да, да, я всё знаю о тебе', 'Не вздумайте ходить в бильярдные клубы с бухлом, иначе вместо бильярдных шариков окажутся ваши яйца', 'Что бы ни произошло, делай вид, что ты не ты, а не ты это она!', 'В скором времени вашу семью ожидает богатство, ведь вас мобилизируют и грохнут на войне.', 'Скоро ты отправишься в деревню к коровам и быкам. Когда будешь их доить, постарайся не перепутать быка с коровой, иначе придётся пить молоко.', 'В ближайшие дни остерегайся зеркального отражения! Иначе ты увидишь свою смазливую рожу и впадёшь в депрессию.', 'Хватит превращаться в бабу, стань бабой, военкомат близко', 'Сиська упадёт в унитаз и застрянет']
780201552;;;6;-;2022-11-04  19:44:51;['2022-11-04  17:51:33', '2022-11-04  19:44:51'];0;0;0;['Сегодня не стоит... и завтра не стоит - ты импотент', 'Сегодня не стоит есть, вероятно вас блюванёт на котейку', 'Сиська упадёт в унитаз и застрянет', 'Будь осторожней, у тебя может появиться ребёнок в ближайшее время, но есть и хорошая новость, тебя ребёнок не коснётся, мобилизация коснётся!', 'Не вздумайте ходить в бильярдные клубы с бухлом, иначе вместо бильярдных шариков окажутся ваши яйца', 'Хватит превращаться в бабу, стань бабой, военкомат близко']
777914847;;;4;-;2022-11-04  19:44:52;['2022-11-04  17:51:33', '2022-11-04  19:44:52'];0;0;0;['Хватит менять себя ради кого-то, меняй носки каждый день, а то они воняют.', 'Ты встретишь сегодня скромного, стеснительного мужчину, знающего наизусть Камасутру.', 'Что бы ни произошло, делай вид, что ты не ты, а не ты это она!', 'В ближайшие дни остерегайся зеркального отражения! Иначе ты увидишь свою смазливую рожу и впадёшь в депрессию.']
655552725;;;5;-;2022-11-04  19:44:52;['2022-11-04  17:51:34', '2022-11-04  19:44:52'];0;0;0;['В ближайшие дни остерегайся зеркального отражения! Иначе ты увидишь свою смазливую рожу и впадёшь в депрессию.', 'Вас ожидает секс с вашей мамой', 'Сиська упадёт в унитаз и застрянет', 'Ты встретишь сегодня скромного, стеснительного мужчину, знающего наизусть Камасутру.', 'С неповторимым мужчиной и повторить не грех! Да, да, я всё знаю о тебе']
936440647;;;6;-;2022-11-04  19:44:52;['2022-11-04  17:51:34', '2022-11-04  19:44:52'];0;0;0;['Хватит менять себя ради кого-то, меняй носки каждый день, а то они воняют.', 'Сиська упадёт в унитаз и застрянет', 'Остерегайся в ближайшие дни числа 123, иначе ровно столько-же негров тебя ........', 'Сегодня не стоит... и завтра не стоит - ты импотент', 'В ближайшие дни остерегайся зеркального отражения! Иначе ты увидишь свою смазливую рожу и впадёшь в депрессию.', 'Застёгивай молнию на джинсах аккуратно, есть большая вероятность защемить член молнией.']
769699877;;;5;-;2022-11-04  19:44:52;['2022-11-04  17:51:34', '2022-11-04  19:44:52'];0;0;0;['Что бы ни произошло, делай вид, что ты не ты, а не ты это она!', 'Советую вам не ходить под крышами в ближайшую неделю, есть шанс что вам на голову прилетит порция дерьма', 'Сегодня не стоит есть, вероятно вас блюванёт на котейку', 'Сегодня тебя ожидает встреча с другом, который проткнул себе член иглой, пока прочищал его от спермы', 'В ближайшие дни остерегайся зеркального отражения! Иначе ты увидишь свою смазливую рожу и впадёшь в депрессию.']
217381270;;;4;-;2022-11-04  19:44:52;['2022-11-04  17:51:34', '2022-11-04  19:44:52'];0;0;0;['Сегодня тебя ожидает встреча с другом, который проткнул себе член иглой, пока прочищал его от спермы', 'В ближайшие дни остерегайся зеркального отражения! Иначе ты увидишь свою смазливую рожу и впадёшь в депрессию.', 'Советую вам не ходить под крышами в ближайшую неделю, есть шанс что вам на голову прилетит порция дерьма', 'Сиська упадёт в унитаз и застрянет']
853415338;;;6;-;2022-11-04  19:44:53;['2022-11-04  17:51:35', '2022-11-04  19:44:53'];0;0;0;['Сиська упадёт в унитаз и застрянет', 'Если тебе тяжело идти, значит ты жирный.', 'Вас ожидает секс с вашей мамой', 'Что бы ни произошло, делай вид, что ты не ты, а не ты это она!', 'Застёгивай молнию на джинсах аккуратно, есть большая вероятность защемить член молнией.', 'Не вздумайте ходить в бильярдные клубы с бухлом, иначе вместо бильярдных шариков окажутся ваши яйца']
